table	query	scanstep
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	9
1	11	0
1	12	586
1	13	0
1	14	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
4	1	0
4	2	0
4	3	12
4	4	0
4	5	0
4	6	0
4	7	12
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0	
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	12
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
7	1	586
7	2	0
7	3	586
7	4	150
7	5	0
7	6	586
7	7	586
7	8	0
7	9	586
7	10	586
7	11	0
7	12	586
7	13	0	
7	14	0
8	1	0
8	2	0
8	3	325
8	4	1100
8	5	0
8	6	0
8	7	134
8	8	0
8	9	1
8	10	0
8	11	0
8	12	0
8	13	0
8	14	0
